  Registered nvfp4_bench::_scaled_mm
Total configurations to benchmark: 502
Unique M values: 251
  Reference time: 0.2741 ms
  Best time: 0.4673 ms
  Registered time: 0.4667 ms
  Registration overhead: -0.0006 ms
m=30928, n=2048, k=1408, l=1
  Reference time: 0.2214 ms
  Best time: 0.1824 ms
  Registered time: 0.1824 ms
  Registration overhead: -0.0000 ms
m=98848, n=2048, k=1408, l=1
  Reference time: 0.3411 ms
  Best time: 0.5941 ms
  Registered time: 0.5853 ms
  Registration overhead: -0.0088 ms
m=64280, n=1408, k=2048, l=1
  Reference time: 0.2199 ms
  Best time: 0.3048 ms
  Registered time: 0.3047 ms
  Registration overhead: -0.0001 ms
m=91744, n=2048, k=1408, l=1
  Reference time: 0.3218 ms
  Best time: 0.5489 ms
  Registered time: 0.5489 ms
  Registration overhead: -0.0001 ms
m=82752, n=2048, k=1408, l=1
  Reference time: 0.2957 ms
  Best time: 0.4942 ms
  Registered time: 0.4934 ms
  Registration overhead: -0.0008 ms
m=109688, n=2048, k=1408, l=1
  Reference time: 0.3811 ms
  Best time: 0.6462 ms
  Registered time: 0.6460 ms
  Registration overhead: -0.0001 ms
m=92024, n=1408, k=2048, l=1
  Reference time: 0.2937 ms
  Best time: 0.4261 ms
  Registered time: 0.4261 ms
  Registration overhead: -0.0000 ms
m=12384, n=2048, k=1408, l=1
  Reference time: 0.2053 ms
  Best time: 0.0777 ms
  Registered time: 0.0777 ms
  Registration overhead: -0.0000 ms
m=68024, n=2048, k=1408, l=1
  Reference time: 0.2511 ms
  Best time: 0.4116 ms
  Registered time: 0.4115 ms
  Registration overhead: -0.0001 ms
m=98976, n=1408, k=2048, l=1
  Reference time: 0.3079 ms
  Best time: 0.4593 ms
  Registered time: 0.4593 ms
  Registration overhead: -0.0000 ms
m=130608, n=2048, k=1408, l=1
  Reference time: 0.4370 ms
  Best time: 0.7825 ms
  Registered time: 0.7653 ms
  Registration overhead: -0.0171 ms
m=94408, n=1408, k=2048, l=1
  Reference time: 0.3064 ms
  Best time: 0.4377 ms
  Registered time: 0.4378 ms
  Registration overhead: 0.0000 ms
m=64896, n=2048, k=1408, l=1
  Reference time: 0.2316 ms
  Best time: 0.3980 ms
  Registered time: 0.3935 ms
  Registration overhead: -0.0044 ms
m=83576, n=2048, k=1408, l=1
  Reference time: 0.2986 ms
  Best time: 0.5034 ms
  Registered time: 0.5022 ms
  Registration overhead: -0.0013 ms
m=102264, n=1408, k=2048, l=1
  Reference time: 0.3222 ms
  Best time: 0.4738 ms
  Registered time: 0.4726 ms
  Registration overhead: -0.0012 ms
m=90384, n=1408, k=2048, l=1
  Reference time: 0.2876 ms
  Best time: 0.4211 ms
  Registered time: 0.4211 ms
  Registration overhead: -0.0000 ms
m=87112, n=1408, k=2048, l=1
  Reference time: 0.2775 ms
  Best time: 0.4060 ms
  Registered time: 0.4058 ms
  Registration overhead: -0.0002 ms
m=118448, n=2048, k=1408, l=1
  Reference time: 0.3943 ms
  Best time: 0.7050 ms
  Registered time: 0.6951 ms
  Registration overhead: -0.0099 ms
m=98880, n=1408, k=2048, l=1
  Reference time: 0.3024 ms
  Best time: 0.4601 ms
  Registered time: 0.4574 ms
  Registration overhead: -0.0027 ms
m=111840, n=1408, k=2048, l=1
  Reference time: 0.3435 ms
  Best time: 0.5253 ms
  Registered time: 0.5248 ms
  Registration overhead: -0.0005 ms
m=106184, n=1408, k=2048, l=1
  Reference time: 0.3314 ms
  Best time: 0.4908 ms
  Registered time: 0.4909 ms
  Registration overhead: 0.0001 ms
m=100696, n=1408, k=2048, l=1
  Reference time: 0.3142 ms
  Best time: 0.4668 ms
  Registered time: 0.4657 ms
  Registration overhead: -0.0011 ms
m=98672, n=2048, k=1408, l=1
  Reference time: 0.3390 ms
  Best time: 0.5866 ms
  Registered time: 0.5853 ms
  Registration overhead: -0.0013 ms
m=144960, n=1408, k=2048, l=1
  Reference time: 0.4296 ms
  Best time: 0.6807 ms
  Registered time: 0.6669 ms
  Registration overhead: -0.0138 ms
m=101296, n=1408, k=2048, l=1
  Reference time: 0.3173 ms
  Best time: 0.4701 ms
  Registered time: 0.4694 ms
  Registration overhead: -0.0008 ms
m=85544, n=2048, k=1408, l=1
  Reference time: 0.3023 ms
  Best time: 0.5115 ms
  Registered time: 0.5113 ms
  Registration overhead: -0.0002 ms
m=115392, n=2048, k=1408, l=1
  Reference time: 0.3878 ms
  Best time: 0.6801 ms
  Registered time: 0.6785 ms
  Registration overhead: -0.0015 ms
m=99080, n=2048, k=1408, l=1
  Reference time: 0.3441 ms
  Best time: 0.5935 ms
  Registered time: 0.5891 ms
  Registration overhead: -0.0044 ms
m=93624, n=1408, k=2048, l=1
  Reference time: 0.2980 ms
  Best time: 0.4356 ms
  Registered time: 0.4342 ms
  Registration overhead: -0.0015 ms
m=114680, n=2048, k=1408, l=1
  Reference time: 0.3891 ms
  Best time: 0.6804 ms
  Registered time: 0.6740 ms
  Registration overhead: -0.0064 ms
m=138144, n=2048, k=1408, l=1
  Reference time: 0.4612 ms
  Best time: 0.8178 ms
  Registered time: 0.8086 ms
  Registration overhead: -0.0092 ms
m=102112, n=1408, k=2048, l=1
  Reference time: 0.3133 ms
  Best time: 0.4750 ms
  Registered time: 0.4729 ms
  Registration overhead: -0.0021 ms
m=97336, n=1408, k=2048, l=1
  Reference time: 0.3082 ms
  Best time: 0.4532 ms
  Registered time: 0.4533 ms
  Registration overhead: 0.0001 ms
m=97768, n=2048, k=1408, l=1
  Reference time: 0.3386 ms
  Best time: 0.5828 ms
  Registered time: 0.5819 ms
  Registration overhead: -0.0010 ms
m=98576, n=2048, k=1408, l=1
  Reference time: 0.3418 ms
  Best time: 0.5856 ms
  Registered time: 0.5856 ms
  Registration overhead: -0.0000 ms
m=126104, n=2048, k=1408, l=1
  Reference time: 0.4379 ms
  Best time: 0.7495 ms
  Registered time: 0.7401 ms
  Registration overhead: -0.0094 ms
m=106944, n=1408, k=2048, l=1
  Reference time: 0.3280 ms
  Best time: 0.5041 ms
  Registered time: 0.4939 ms
  Registration overhead: -0.0102 ms
m=102816, n=2048, k=1408, l=1
  Reference time: 0.3497 ms
  Best time: 0.6150 ms
  Registered time: 0.6103 ms
  Registration overhead: -0.0047 ms
m=67840, n=1408, k=2048, l=1
  Reference time: 0.2131 ms
  Best time: 0.3234 ms
  Registered time: 0.3229 ms
  Registration overhead: -0.0005 ms
m=88712, n=1408, k=2048, l=1
  Reference time: 0.2834 ms
  Best time: 0.4129 ms
  Registered time: 0.4128 ms
  Registration overhead: -0.0001 ms
m=45720, n=2048, k=1408, l=1
  Reference time: 0.2253 ms
  Best time: 0.2718 ms
  Registered time: 0.2717 ms
  Registration overhead: -0.0001 ms
m=98296, n=1408, k=2048, l=1
  Reference time: 0.3100 ms
  Best time: 0.4563 ms
  Registered time: 0.4548 ms
  Registration overhead: -0.0015 ms
m=81664, n=1408, k=2048, l=1
  Reference time: 0.2541 ms
  Best time: 0.3824 ms
  Registered time: 0.3823 ms
  Registration overhead: -0.0001 ms
m=42736, n=1408, k=2048, l=1
  Reference time: 0.2241 ms
  Best time: 0.2050 ms
  Registered time: 0.2049 ms
  Registration overhead: -0.0000 ms
m=100864, n=2048, k=1408, l=1
  Reference time: 0.3437 ms
  Best time: 0.6180 ms
  Registered time: 0.5958 ms
  Registration overhead: -0.0222 ms
m=84264, n=2048, k=1408, l=1
  Reference time: 0.2988 ms
  Best time: 0.5060 ms
  Registered time: 0.5057 ms
  Registration overhead: -0.0002 ms
m=74816, n=1408, k=2048, l=1
  Reference time: 0.2413 ms
  Best time: 0.3531 ms
  Registered time: 0.3530 ms
  Registration overhead: -0.0001 ms
m=87792, n=1408, k=2048, l=1
  Reference time: 0.2789 ms
  Best time: 0.4075 ms
  Registered time: 0.4074 ms
  Registration overhead: -0.0001 ms
m=97504, n=1408, k=2048, l=1
  Reference time: 0.3047 ms
  Best time: 0.4513 ms
  Registered time: 0.4511 ms
  Registration overhead: -0.0002 ms
m=105160, n=1408, k=2048, l=1
  Reference time: 0.3287 ms
  Best time: 0.4894 ms
  Registered time: 0.4868 ms
  Registration overhead: -0.0026 ms
m=97816, n=1408, k=2048, l=1
  Reference time: 0.3112 ms
  Best time: 0.4544 ms
  Registered time: 0.4544 ms
  Registration overhead: 0.0000 ms
m=93688, n=2048, k=1408, l=1
  Reference time: 0.3270 ms
  Best time: 0.5586 ms
  Registered time: 0.5584 ms
  Registration overhead: -0.0002 ms
m=96008, n=1408, k=2048, l=1
  Reference time: 0.3064 ms
  Best time: 0.4458 ms
  Registered time: 0.4452 ms
  Registration overhead: -0.0006 ms
m=94984, n=1408, k=2048, l=1
  Reference time: 0.3023 ms
  Best time: 0.4421 ms
  Registered time: 0.4421 ms
  Registration overhead: 0.0000 ms
m=93872, n=2048, k=1408, l=1
  Reference time: 0.3298 ms
  Best time: 0.5604 ms
  Registered time: 0.5588 ms
  Registration overhead: -0.0016 ms
m=79360, n=1408, k=2048, l=1
  Reference time: 0.2471 ms
  Best time: 0.3725 ms
  Registered time: 0.3726 ms
  Registration overhead: 0.0001 ms
m=83208, n=2048, k=1408, l=1
  Reference time: 0.2916 ms
  Best time: 0.5008 ms
  Registered time: 0.4981 ms
  Registration overhead: -0.0027 ms
m=102264, n=2048, k=1408, l=1
  Reference time: 0.3535 ms
  Best time: 0.6054 ms
  Registered time: 0.6047 ms
  Registration overhead: -0.0007 ms
m=131840, n=2048, k=1408, l=1
  Reference time: 0.4317 ms
  Best time: 0.7724 ms
  Registered time: 0.7723 ms
  Registration overhead: -0.0001 ms
m=96008, n=2048, k=1408, l=1
  Reference time: 0.3324 ms
  Best time: 0.5739 ms
  Registered time: 0.5729 ms
  Registration overhead: -0.0010 ms
m=73208, n=1408, k=2048, l=1
  Reference time: 0.2426 ms
  Best time: 0.3455 ms
  Registered time: 0.3455 ms
  Registration overhead: 0.0000 ms
m=89488, n=1408, k=2048, l=1
  Reference time: 0.2842 ms
  Best time: 0.4164 ms
  Registered time: 0.4163 ms
  Registration overhead: -0.0001 ms
m=38776, n=2048, k=1408, l=1
  Reference time: 0.2228 ms
  Best time: 0.2294 ms
  Registered time: 0.2293 ms
  Registration overhead: -0.0001 ms
m=90760, n=1408, k=2048, l=1
  Reference time: 0.2912 ms
  Best time: 0.4212 ms
  Registered time: 0.4213 ms
  Registration overhead: 0.0000 ms
m=125024, n=1408, k=2048, l=1
  Reference time: 0.3895 ms
  Best time: 0.5777 ms
  Registered time: 0.5770 ms
  Registration overhead: -0.0007 ms
m=67216, n=1408, k=2048, l=1
  Reference time: 0.2227 ms
  Best time: 0.3190 ms
  Registered time: 0.3190 ms
  Registration overhead: -0.0000 ms
m=74880, n=2048, k=1408, l=1
  Reference time: 0.2573 ms
  Best time: 0.4534 ms
  Registered time: 0.4532 ms
  Registration overhead: -0.0002 ms
m=121056, n=1408, k=2048, l=1
  Reference time: 0.3644 ms
  Best time: 0.5670 ms
  Registered time: 0.5584 ms
  Registration overhead: -0.0086 ms
m=91200, n=1408, k=2048, l=1
  Reference time: 0.2829 ms
  Best time: 0.4246 ms
  Registered time: 0.4237 ms
  Registration overhead: -0.0009 ms
m=50512, n=2048, k=1408, l=1
  Reference time: 0.2197 ms
  Best time: 0.3028 ms
  Registered time: 0.3028 ms
  Registration overhead: -0.0001 ms
m=96656, n=2048, k=1408, l=1
  Reference time: 0.3320 ms
  Best time: 0.5770 ms
  Registered time: 0.5754 ms
  Registration overhead: -0.0015 ms
m=157496, n=1408, k=2048, l=1
  Reference time: 0.4692 ms
  Best time: 0.7309 ms
  Registered time: 0.7238 ms
  Registration overhead: -0.0071 ms
m=120464, n=2048, k=1408, l=1
  Reference time: 0.4032 ms
  Best time: 0.7064 ms
  Registered time: 0.7065 ms
  Registration overhead: 0.0001 ms
m=93288, n=1408, k=2048, l=1
  Reference time: 0.2974 ms
  Best time: 0.4323 ms
  Registered time: 0.4320 ms
  Registration overhead: -0.0003 ms
m=73736, n=1408, k=2048, l=1
  Reference time: 0.2444 ms
  Best time: 0.3491 ms
  Registered time: 0.3491 ms
  Registration overhead: -0.0000 ms
m=79632, n=2048, k=1408, l=1
  Reference time: 0.2861 ms
  Best time: 0.4763 ms
  Registered time: 0.4763 ms
  Registration overhead: 0.0000 ms
m=107224, n=1408, k=2048, l=1
  Reference time: 0.3320 ms
  Best time: 0.4975 ms
  Registered time: 0.4961 ms
  Registration overhead: -0.0014 ms
m=94496, n=1408, k=2048, l=1
  Reference time: 0.2912 ms
  Best time: 0.4389 ms
  Registered time: 0.4389 ms
  Registration overhead: -0.0000 ms
m=104880, n=2048, k=1408, l=1
  Reference time: 0.3554 ms
  Best time: 0.6196 ms
  Registered time: 0.6197 ms
  Registration overhead: 0.0001 ms
m=128904, n=1408, k=2048, l=1
  Reference time: 0.3886 ms
  Best time: 0.5955 ms
  Registered time: 0.5954 ms
  Registration overhead: -0.0001 ms
m=66424, n=1408, k=2048, l=1
  Reference time: 0.2263 ms
  Best time: 0.3154 ms
  Registered time: 0.3153 ms
  Registration overhead: -0.0001 ms
m=99616, n=1408, k=2048, l=1
  Reference time: 0.3045 ms
  Best time: 0.4654 ms
  Registered time: 0.4622 ms
  Registration overhead: -0.0031 ms
m=90776, n=2048, k=1408, l=1
  Reference time: 0.3135 ms
  Best time: 0.5409 ms
  Registered time: 0.5406 ms
  Registration overhead: -0.0004 ms
m=80528, n=2048, k=1408, l=1
  Reference time: 0.2874 ms
  Best time: 0.4905 ms
  Registered time: 0.4877 ms
  Registration overhead: -0.0028 ms
m=121936, n=2048, k=1408, l=1
  Reference time: 0.4054 ms
  Best time: 0.7179 ms
  Registered time: 0.7148 ms
  Registration overhead: -0.0032 ms
m=99952, n=1408, k=2048, l=1
  Reference time: 0.3137 ms
  Best time: 0.4628 ms
  Registered time: 0.4620 ms
  Registration overhead: -0.0008 ms
m=83376, n=2048, k=1408, l=1
  Reference time: 0.2942 ms
  Best time: 0.4987 ms
  Registered time: 0.4985 ms
  Registration overhead: -0.0002 ms
m=101552, n=1408, k=2048, l=1
  Reference time: 0.3175 ms
  Best time: 0.4708 ms
  Registered time: 0.4700 ms
  Registration overhead: -0.0008 ms
m=96488, n=2048, k=1408, l=1
  Reference time: 0.3352 ms
  Best time: 0.5777 ms
  Registered time: 0.5740 ms
  Registration overhead: -0.0037 ms
m=69448, n=2048, k=1408, l=1
  Reference time: 0.2548 ms
  Best time: 0.4228 ms
  Registered time: 0.4229 ms
  Registration overhead: 0.0001 ms
m=99616, n=2048, k=1408, l=1
  Reference time: 0.3399 ms
  Best time: 0.5903 ms
  Registered time: 0.5901 ms
  Registration overhead: -0.0002 ms
m=113800, n=1408, k=2048, l=1
  Reference time: 0.3549 ms
  Best time: 0.5261 ms
  Registered time: 0.5257 ms
  Registration overhead: -0.0004 ms
m=98008, n=1408, k=2048, l=1
  Reference time: 0.3084 ms
  Best time: 0.4542 ms
  Registered time: 0.4545 ms
  Registration overhead: 0.0002 ms
m=117448, n=1408, k=2048, l=1
  Reference time: 0.3937 ms
  Best time: 0.5468 ms
  Registered time: 0.5422 ms
  Registration overhead: -0.0046 ms
m=101712, n=1408, k=2048, l=1
  Reference time: 0.3203 ms
  Best time: 0.4717 ms
  Registered time: 0.4697 ms
  Registration overhead: -0.0020 ms
m=100264, n=2048, k=1408, l=1
  Reference time: 0.3443 ms
  Best time: 0.6075 ms
  Registered time: 0.5958 ms
  Registration overhead: -0.0117 ms
m=87680, n=2048, k=1408, l=1
  Reference time: 0.3016 ms
  Best time: 0.5284 ms
  Registered time: 0.5234 ms
  Registration overhead: -0.0050 ms
m=106096, n=1408, k=2048, l=1
  Reference time: 0.3350 ms
  Best time: 0.4911 ms
  Registered time: 0.4910 ms
  Registration overhead: -0.0000 ms
m=99128, n=2048, k=1408, l=1
  Reference time: 0.3435 ms
  Best time: 0.5892 ms
  Registered time: 0.5891 ms
  Registration overhead: -0.0001 ms
m=84552, n=2048, k=1408, l=1
  Reference time: 0.2975 ms
  Best time: 0.5091 ms
  Registered time: 0.5056 ms
  Registration overhead: -0.0035 ms
m=100400, n=1408, k=2048, l=1
  Reference time: 0.3168 ms
  Best time: 0.4653 ms
  Registered time: 0.4653 ms
  Registration overhead: 0.0001 ms
m=104824, n=2048, k=1408, l=1
  Reference time: 0.3703 ms
  Best time: 0.6204 ms
  Registered time: 0.6200 ms
  Registration overhead: -0.0004 ms
m=96104, n=2048, k=1408, l=1
  Reference time: 0.3297 ms
  Best time: 0.5730 ms
  Registered time: 0.5716 ms
  Registration overhead: -0.0014 ms
m=98648, n=2048, k=1408, l=1
  Reference time: 0.3380 ms
  Best time: 0.5911 ms
  Registered time: 0.5858 ms
  Registration overhead: -0.0053 ms
m=81416, n=2048, k=1408, l=1
  Reference time: 0.2931 ms
  Best time: 0.4876 ms
  Registered time: 0.4875 ms
  Registration overhead: -0.0001 ms
m=106688, n=2048, k=1408, l=1
  Reference time: 0.3648 ms
  Best time: 0.6303 ms
  Registered time: 0.6463 ms
  Registration overhead: 0.0160 ms
m=151744, n=2048, k=1408, l=1
  Reference time: 0.4998 ms
  Best time: 0.8988 ms
  Registered time: 0.8847 ms
  Registration overhead: -0.0141 ms
m=140416, n=1408, k=2048, l=1
  Reference time: 0.4096 ms
  Best time: 0.6474 ms
  Registered time: 0.6462 ms
  Registration overhead: -0.0012 ms
m=102296, n=1408, k=2048, l=1
  Reference time: 0.3220 ms
  Best time: 0.4769 ms
  Registered time: 0.4732 ms
  Registration overhead: -0.0037 ms
m=90464, n=1408, k=2048, l=1
  Reference time: 0.2821 ms
  Best time: 0.4217 ms
  Registered time: 0.4216 ms
  Registration overhead: -0.0001 ms
m=106688, n=1408, k=2048, l=1
  Reference time: 0.3254 ms
  Best time: 0.4948 ms
  Registered time: 0.4947 ms
  Registration overhead: -0.0001 ms
m=91472, n=1408, k=2048, l=1
  Reference time: 0.2891 ms
  Best time: 0.4261 ms
  Registered time: 0.4258 ms
  Registration overhead: -0.0003 ms
m=107056, n=1408, k=2048, l=1
  Reference time: 0.3304 ms
  Best time: 0.4984 ms
  Registered time: 0.4956 ms
  Registration overhead: -0.0027 ms
m=102816, n=1408, k=2048, l=1
  Reference time: 0.3141 ms
  Best time: 0.4795 ms
  Registered time: 0.4756 ms
  Registration overhead: -0.0038 ms
m=74448, n=1408, k=2048, l=1
  Reference time: 0.2427 ms
  Best time: 0.3507 ms
  Registered time: 0.3506 ms
  Registration overhead: -0.0001 ms
m=72840, n=1408, k=2048, l=1
  Reference time: 0.2432 ms
  Best time: 0.3447 ms
  Registered time: 0.3442 ms
  Registration overhead: -0.0005 ms
m=86936, n=2048, k=1408, l=1
  Reference time: 0.3078 ms
  Best time: 0.5262 ms
  Registered time: 0.5219 ms
  Registration overhead: -0.0043 ms
m=103920, n=1408, k=2048, l=1
  Reference time: 0.3251 ms
  Best time: 0.4812 ms
  Registered time: 0.4813 ms
  Registration overhead: 0.0001 ms
m=96848, n=1408, k=2048, l=1
  Reference time: 0.3058 ms
  Best time: 0.4507 ms
  Registered time: 0.4495 ms
  Registration overhead: -0.0012 ms
m=66248, n=1408, k=2048, l=1
  Reference time: 0.2253 ms
  Best time: 0.3144 ms
  Registered time: 0.3144 ms
  Registration overhead: 0.0001 ms
m=93528, n=2048, k=1408, l=1
  Reference time: 0.3275 ms
  Best time: 0.5575 ms
  Registered time: 0.5574 ms
  Registration overhead: -0.0001 ms
m=101784, n=1408, k=2048, l=1
  Reference time: 0.3209 ms
  Best time: 0.4724 ms
  Registered time: 0.4707 ms
  Registration overhead: -0.0016 ms
m=94496, n=2048, k=1408, l=1
  Reference time: 0.3288 ms
  Best time: 0.5673 ms
  Registered time: 0.5630 ms
  Registration overhead: -0.0043 ms
m=75456, n=2048, k=1408, l=1
  Reference time: 0.2714 ms
  Best time: 0.4566 ms
  Registered time: 0.4566 ms
  Registration overhead: -0.0000 ms
m=118448, n=1408, k=2048, l=1
  Reference time: 0.3672 ms
  Best time: 0.5480 ms
  Registered time: 0.5457 ms
  Registration overhead: -0.0023 ms
m=66176, n=2048, k=1408, l=1
  Reference time: 0.2301 ms
  Best time: 0.4013 ms
  Registered time: 0.4011 ms
  Registration overhead: -0.0003 ms
m=75144, n=2048, k=1408, l=1
  Reference time: 0.2705 ms
  Best time: 0.4519 ms
  Registered time: 0.4513 ms
  Registration overhead: -0.0006 ms
m=118160, n=1408, k=2048, l=1
  Reference time: 0.3569 ms
  Best time: 0.5461 ms
  Registered time: 0.5462 ms
  Registration overhead: 0.0001 ms
m=78920, n=2048, k=1408, l=1
  Reference time: 0.2796 ms
  Best time: 0.4726 ms
  Registered time: 0.4725 ms
  Registration overhead: -0.0001 ms
m=81520, n=2048, k=1408, l=1
  Reference time: 0.2930 ms
  Best time: 0.4922 ms
  Registered time: 0.4923 ms
  Registration overhead: 0.0001 ms
m=101688, n=1408, k=2048, l=1
  Reference time: 0.3206 ms
  Best time: 0.4713 ms
  Registered time: 0.4713 ms
  Registration overhead: 0.0000 ms
m=83208, n=1408, k=2048, l=1
  Reference time: 0.2683 ms
  Best time: 0.3909 ms
  Registered time: 0.3908 ms
  Registration overhead: -0.0000 ms
m=67448, n=2048, k=1408, l=1
  Reference time: 0.2477 ms
  Best time: 0.4075 ms
  Registered time: 0.4072 ms
  Registration overhead: -0.0003 ms
m=95112, n=1408, k=2048, l=1
  Reference time: 0.2987 ms
  Best time: 0.4416 ms
  Registered time: 0.4416 ms
  Registration overhead: 0.0000 ms
m=116168, n=2048, k=1408, l=1
  Reference time: 0.3943 ms
  Best time: 0.6875 ms
  Registered time: 0.6813 ms
  Registration overhead: -0.0062 ms
m=102616, n=2048, k=1408, l=1
  Reference time: 0.3609 ms
  Best time: 0.6198 ms
  Registered time: 0.6073 ms
  Registration overhead: -0.0125 ms
m=94192, n=2048, k=1408, l=1
  Reference time: 0.3257 ms
  Best time: 0.5645 ms
  Registered time: 0.5615 ms
